ID,标题,年份,副标题（国家/类型/导演/演员）,评分,海报,评分人数
1296467,西部开拓史 How the West Was Won,1962,"  美国 / 剧情,爱情,西部,冒险 / 约翰·福特,亨利·哈撒韦,乔治·马歇尔,理查德·索普 / 卡罗尔·贝克,李·科布,亨利·方达,卡罗琳·琼斯,卡尔·莫尔登,格利高里·派克,乔治·佩帕德,罗伯特·普雷斯顿,黛比·雷诺斯,詹姆斯·斯图尔特,埃里·瓦拉赫,约翰·韦恩,理查德·威德马克,布里吉德·巴兹伦,沃尔特·布伦南,大卫·布莱恩,安迪·德怀恩,雷蒙德·马西,阿格妮丝·摩尔海德,哈里·摩根,瑟尔玛·瑞特,米基·肖夫尼西,拉斯·坦布林,斯宾塞·屈塞,罗多尔福·阿科斯塔,Mark Allen,比拉·阿丘利塔,Robert Banas,威利斯·布鲁辛,John Breen,查利·布里格斯,保罗·布亚尔,沃尔特·伯克,Polly Burson,Kim Charney,肯·柯蒂斯,John Damler,Christopher Dark,Kem Dibbs,杰伊·C·弗利朋,Sol Gorss,Tom Greenway,詹姆斯·格里菲斯,威廉·亨利,Jerry Holmes,罗伊·詹森,Claude Johnson,杰克·兰伯特,约翰·拉尔克,Stanley Livingston,J. Edward McKinley,Harry Monty,博伊德·摩根,克利夫·奥斯蒙德,都铎·欧文,Harvey Parry,杰克·彭尼克,吉尔·帕金斯,Buddy Red Bow,沃尔特·里德,查克·罗伯森,Victor Romito,Jamie Ross,Gene Roth,Bryan Russell,乔·索耶,杰弗里·塞尔,Phil Schumacher,哈利·戴恩·斯坦通,克林顿·松德贝里,卡尔·斯温森,肯·特雷尔,Jack Tornek,李·范·克里夫,小威廉姆·维尔曼,哈里·威尔逊,Carleton Young ",7.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2363425489.jpg,1516
1293199,持摄影机的人 Человек с Киноаппаратом,1929,  苏联 / 纪录片 / 吉加·维尔托夫 / Mikhail Kaufman ,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1987090795.jpg,15511
1298619,小玩意,1933,"  中国大陆 / 剧情,战争 / 孙瑜 / 阮玲玉,黎莉莉,袁丛美,罗朋,汤天绣,刘继群,韩兰根 ",8.0,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2497200141.jpg,2491
1304771,一个和八个,1983,"  中国大陆 / 剧情,战争 / 张军钊 / 陶泽如,陈道明,卢小燕,赵小锐,赵健文,翟春华,魏宗万,谢园,韩飞 ",7.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2460455277.jpg,5535
1307015,大路,1934,"  中国大陆 / 剧情,喜剧,歌舞,战争 / 孙瑜 / 金焰,黎莉莉,陈燕燕 ",7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2657794406.jpg,3819
1915041,新巴比伦 Новый Вавилон,1929,"  苏联 / 剧情,历史 / 格里高利·柯静采夫,列昂尼德·塔拉乌别尔格 / David Gutman,叶莲娜·库兹敏娜,安德烈·科斯特里奇金,索菲娅·马加里尔,A. Arnold,谢尔盖·格拉西莫夫,叶夫根尼·切尔维亚科夫,彼得·索博列夫斯基 ",8.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2454213768.jpg,92
1481002,兵工厂 Арсенал,1929,"  苏联 / 剧情,战争 / 亚历山大·杜辅仁科 / Semyon Svashenko,Nikolai Nademsky,Luciano Albertini,Nikolai Nademsky ",7.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2206602713.jpg,312
2039394,星 Sterne,1959,"  东德,保加利亚 / 剧情,战争 / 康拉德·沃尔夫 / Sasha Krushars,Jürgen Frohriep ",7.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2336714842.jpg,168
1303059,战地浪漫曲 Военно-полевой роман,1983,"  苏联 / 剧情,爱情 / 彼得·托多洛夫斯基 / 尼·布尔里亚耶夫 Nikolai Burlyayev,茵娜·丘里科娃,Inna Churikova ",8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2160319054.jpg,1106
1459097,合法婚姻 Законный брак,1985,"  苏联 / 剧情,爱情,战争 / 阿尔伯特·姆克尔柴扬 / 纳塔利娅·别洛赫沃斯季科娃,伊戈尔·柯斯托列夫斯基,恩斯特·罗曼诺夫 ",8.5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517625250.jpg,676
